#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.95,0.00
1,1000,5.05,0.20
2,1000,5.05,0.40
4,1000,5.07,0.79
8,1000,5.05,1.58
16,1000,5.06,3.16
32,1000,5.07,6.31
64,1000,5.08,12.60
128,1000,5.13,24.97
256,1000,5.18,49.45
512,1000,5.23,97.98
1024,1000,5.91,173.26
2048,1000,5.61,364.88
4096,1000,6.57,623.79
8192,1000,6.93,1181.87
16384,1000,9.06,1807.88
32768,1000,14.50,2259.82
65536,640,30.14,2174.23
131072,320,44.19,2965.87
262144,160,61.97,4230.14
524288,80,97.99,5350.36
1048576,40,163.79,6401.94
2097152,20,320.45,6544.32
4194304,10,665.33,6304.11
8388608,5,1562.42,5369.00
16777216,2,3282.44,5111.21
33554432,1,6732.58,4983.89
67108864,1,13354.58,5025.16
134217728,1,26282.67,5106.70
268435456,1,51994.22,5162.79
