#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.83
2,1000,0.19,10.67
4,1000,0.19,21.53
8,1000,0.19,42.79
16,1000,0.19,84.04
32,1000,0.23,141.23
64,1000,0.23,279.49
128,1000,0.32,400.41
256,1000,0.36,715.29
512,1000,0.41,1248.73
1024,1000,0.50,2052.46
2048,1000,0.75,2722.73
4096,1000,1.13,3638.35
8192,1000,1.88,4351.34
16384,1000,2.98,5489.06
32768,1000,4.85,6749.73
65536,640,8.39,7807.46
131072,320,15.76,8314.67
262144,160,13.87,18895.95
524288,80,24.90,21054.04
1048576,40,53.61,19560.18
2097152,20,146.99,14267.67
4194304,10,320.60,13082.55
