#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.40
2,1000,0.22,9.16
4,1000,0.21,18.86
8,1000,0.22,36.82
16,1000,0.21,76.01
32,1000,0.25,128.18
64,1000,0.25,257.79
128,1000,0.36,354.30
256,1000,0.39,658.06
512,1000,0.46,1121.27
1024,1000,0.57,1798.66
2048,1000,0.78,2635.02
4096,1000,1.15,3560.09
8192,1000,1.89,4323.70
16384,1000,2.97,5513.17
32768,1000,4.75,6896.09
65536,640,8.12,8075.07
131072,320,14.69,8924.04
262144,160,14.03,18689.37
524288,80,25.60,20479.06
1048576,40,60.52,17327.08
2097152,20,160.82,13040.31
4194304,10,357.22,11741.65
8388608,5,1011.80,8290.78
16777216,2,2594.86,6465.56
33554432,1,5843.27,5742.41
67108864,1,11730.87,5720.71
134217728,1,22973.59,5842.26
268435456,1,44798.38,5992.08
