#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.17,0.00
1,1000,5.24,0.19
2,1000,5.22,0.38
4,1000,5.23,0.77
8,1000,5.23,1.53
16,1000,5.22,3.07
32,1000,5.23,6.12
64,1000,5.25,12.19
128,1000,5.28,24.23
256,1000,5.31,48.18
512,1000,5.33,96.00
1024,1000,5.97,171.60
2048,1000,5.79,353.42
4096,1000,6.71,610.03
8192,1000,7.04,1164.22
16384,1000,9.23,1774.89
32768,1000,14.90,2199.56
65536,640,29.33,2234.46
131072,320,41.40,3165.94
262144,160,60.37,4342.24
524288,80,93.76,5592.00
1048576,40,155.70,6734.79
2097152,20,298.28,7030.81
4194304,10,588.23,7130.39
