#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.73
2,1000,0.20,10.12
4,1000,0.20,19.95
8,1000,0.20,39.56
16,1000,0.19,84.28
32,1000,0.22,143.04
64,1000,0.22,289.46
128,1000,0.31,408.33
256,1000,0.32,798.03
512,1000,0.38,1331.24
1024,1000,0.49,2072.37
2048,1000,0.74,2756.52
4096,1000,1.12,3670.98
8192,1000,1.86,4397.66
16384,1000,2.95,5561.31
32768,1000,4.73,6921.69
65536,640,8.03,8158.24
131072,320,14.45,9068.53
262144,160,13.16,19916.64
524288,80,24.00,21849.46
1048576,40,52.54,19957.03
2097152,20,140.82,14892.81
4194304,10,303.40,13824.31
