#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.29,3.50
2,1000,0.28,7.09
4,1000,0.28,14.12
8,1000,0.28,28.77
16,1000,0.30,52.79
32,1000,0.30,105.08
64,1000,0.34,188.46
128,1000,0.38,339.19
256,1000,0.40,633.83
512,1000,0.63,813.85
1024,1000,0.72,1417.80
2048,1000,0.91,2257.22
4096,1000,1.76,2322.23
8192,1000,2.12,3859.16
16384,1000,2.72,6012.84
32768,1000,3.84,8542.91
65536,640,5.29,12378.01
131072,320,10.31,12709.58
262144,160,18.66,14045.69
524288,80,38.83,13502.33
1048576,40,91.50,11459.58
2097152,20,216.42,9690.32
4194304,10,440.24,9527.24
