#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.38,0.73
2,1000,1.37,1.45
4,1000,1.38,2.90
8,1000,1.38,5.81
16,1000,1.38,11.60
32,1000,1.41,22.74
64,1000,1.59,40.21
128,1000,1.64,78.14
256,1000,1.89,135.43
512,1000,1.96,261.22
1024,1000,2.15,476.23
2048,1000,2.85,718.17
4096,1000,3.57,1148.34
8192,1000,4.56,1797.83
16384,1000,6.32,2592.43
32768,1000,10.41,3146.24
65536,640,13.54,4838.84
131072,320,22.62,5793.35
262144,160,33.41,7845.91
524288,80,55.85,9388.19
1048576,40,98.57,10638.16
2097152,20,184.34,11376.73
4194304,10,354.28,11838.90
8388608,5,698.60,12007.74
16777216,2,1385.96,12105.15
33554432,1,2758.01,12166.15
67108864,1,5498.12,12205.79
134217728,1,11038.43,12159.13
268435456,1,22028.99,12185.55
