#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.20,0.00
1,1000,1.19,0.84
2,1000,1.19,1.68
4,1000,1.19,3.36
8,1000,1.19,6.71
16,1000,1.19,13.43
32,1000,1.22,26.14
64,1000,1.46,43.98
128,1000,1.52,84.35
256,1000,2.80,91.41
512,1000,1.88,273.01
1024,1000,2.08,492.15
2048,1000,2.81,729.16
4096,1000,3.62,1131.50
8192,1000,4.62,1773.51
16384,1000,6.34,2584.33
32768,1000,9.70,3378.40
65536,640,13.01,5038.01
131072,320,22.13,5924.11
262144,160,32.66,8027.38
524288,80,55.11,9513.79
1048576,40,97.43,10762.30
2097152,20,185.53,11303.77
4194304,10,355.11,11811.27
8388608,5,697.22,12031.43
16777216,2,1385.75,12106.95
33554432,1,2753.48,12186.19
67108864,1,5507.78,12184.37
134217728,1,10969.18,12235.90
268435456,1,21890.68,12262.54
