#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,10.45,0.00
1,1000,10.44,0.10
2,1000,10.30,0.19
4,1000,10.34,0.39
8,1000,8.72,0.92
16,1000,8.72,1.83
32,1000,8.81,3.63
64,1000,8.80,7.27
128,1000,8.92,14.36
256,1000,8.93,28.67
512,1000,11.58,44.20
1024,1000,11.60,88.24
2048,1000,15.12,135.45
4096,1000,16.54,247.60
8192,1000,18.66,438.95
16384,1000,27.83,588.69
32768,1000,40.55,808.14
65536,640,68.21,960.82
131072,320,125.87,1041.29
262144,160,177.47,1477.08
524288,80,278.15,1884.89
1048576,40,467.10,2244.86
2097152,20,864.18,2426.74
4194304,10,1578.36,2657.38
8388608,5,3379.73,2482.04
16777216,2,7120.57,2356.16
33554432,1,13880.45,2417.39
67108864,1,27496.84,2440.60
134217728,1,53862.82,2491.84
268435456,1,110183.24,2436.26
