#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.02,0.00
1,1000,8.95,0.11
2,1000,8.99,0.22
4,1000,9.00,0.44
8,1000,8.06,0.99
16,1000,7.98,2.01
32,1000,7.83,4.09
64,1000,7.85,8.15
128,1000,7.89,16.23
256,1000,7.93,32.29
512,1000,10.52,48.66
1024,1000,10.77,95.05
2048,1000,12.65,161.89
4096,1000,13.79,296.96
8192,1000,15.47,529.47
16384,1000,24.33,673.51
32768,1000,36.00,910.21
65536,640,62.47,1049.00
131072,320,117.21,1118.28
262144,160,148.24,1768.34
524288,80,217.12,2414.74
1048576,40,357.73,2931.23
2097152,20,653.16,3210.78
4194304,10,1303.33,3218.15
8388608,5,2759.81,3039.56
16777216,2,5848.42,2868.68
33554432,1,11689.34,2870.51
67108864,1,23306.73,2879.38
134217728,1,46319.80,2897.63
268435456,1,92982.58,2886.94
