#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.42,0.00
1,1000,5.50,0.18
2,1000,5.50,0.36
4,1000,5.52,0.72
8,1000,5.52,1.45
16,1000,5.52,2.90
32,1000,5.51,5.80
64,1000,5.56,11.51
128,1000,5.62,22.77
256,1000,5.66,45.25
512,1000,5.71,89.68
1024,1000,6.30,162.58
2048,1000,6.09,336.31
4096,1000,7.15,572.91
8192,1000,7.58,1081.11
16384,1000,9.71,1687.60
32768,1000,15.97,2052.45
65536,640,31.09,2108.17
131072,320,43.86,2988.75
262144,160,62.43,4199.00
524288,80,97.98,5350.70
1048576,40,165.48,6336.69
2097152,20,312.83,6703.81
4194304,10,663.39,6322.53
