#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.32,0.00
1,1000,15.43,0.06
2,1000,15.38,0.13
4,1000,15.65,0.26
8,1000,15.43,0.52
16,1000,15.48,1.03
32,1000,15.51,2.06
64,1000,15.57,4.11
128,1000,15.95,8.02
256,1000,15.96,16.04
512,1000,16.20,31.61
1024,1000,16.69,61.35
2048,1000,38.35,53.40
4096,1000,38.52,106.32
8192,1000,39.83,205.65
16384,1000,41.54,394.37
32768,1000,48.78,671.76
65536,640,80.98,809.27
131072,320,130.51,1004.34
262144,160,201.87,1298.59
524288,80,305.23,1717.68
1048576,40,501.46,2091.06
2097152,20,889.21,2358.45
4194304,10,1847.09,2270.76
8388608,5,3752.04,2235.75
16777216,2,7716.21,2174.28
33554432,1,15393.92,2179.72
67108864,1,30590.99,2193.75
134217728,1,60298.88,2225.87
268435456,1,120860.95,2221.03
