#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.20,4.94
2,1000,0.19,10.50
4,1000,0.19,20.71
8,1000,0.19,42.01
16,1000,0.19,82.52
32,1000,0.24,134.63
64,1000,0.23,278.83
128,1000,0.31,408.80
256,1000,0.34,744.62
512,1000,0.39,1327.64
1024,1000,0.52,1975.90
2048,1000,0.74,2751.33
4096,1000,1.13,3633.33
8192,1000,1.91,4289.49
16384,1000,3.02,5430.11
32768,1000,4.95,6621.34
65536,640,8.42,7787.68
131072,320,15.30,8566.35
262144,160,13.28,19747.15
524288,80,23.78,22048.91
1048576,40,54.64,19190.55
2097152,20,138.59,15132.36
4194304,10,307.83,13625.21
