#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.35,0.74
2,1000,1.36,1.47
4,1000,1.35,2.96
8,1000,1.35,5.90
16,1000,1.36,11.78
32,1000,1.39,23.04
64,1000,1.69,37.96
128,1000,1.72,74.22
256,1000,2.00,127.82
512,1000,2.07,247.02
1024,1000,2.27,450.35
2048,1000,2.97,689.38
4096,1000,3.97,1031.01
8192,1000,5.52,1484.55
16384,1000,7.33,2233.75
32768,1000,10.03,3268.56
65536,640,14.53,4510.05
131072,320,23.56,5562.27
262144,160,33.09,7922.13
524288,80,55.80,9396.07
1048576,40,98.82,10611.35
2097152,20,185.87,11283.00
4194304,10,355.68,11792.24
8388608,5,697.47,12027.15
16777216,2,1386.69,12098.73
33554432,1,2759.29,12160.54
67108864,1,5524.56,12147.36
134217728,1,11019.55,12179.96
268435456,1,22081.18,12156.75
