#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.97
2,1000,0.21,9.60
4,1000,0.20,19.91
8,1000,0.20,40.40
16,1000,0.19,85.64
32,1000,0.22,145.15
64,1000,0.22,294.50
128,1000,0.31,413.74
256,1000,0.32,795.33
512,1000,0.35,1451.66
1024,1000,0.49,2098.79
2048,1000,0.74,2750.64
4096,1000,1.11,3676.37
8192,1000,1.86,4399.97
16384,1000,2.94,5574.46
32768,1000,4.72,6937.25
65536,640,8.03,8157.76
131072,320,14.49,9047.03
262144,160,13.87,18897.62
524288,80,25.29,20728.15
1048576,40,55.24,18981.97
2097152,20,144.45,14518.21
4194304,10,301.82,13896.90
