#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.45,2.23
2,1000,0.45,4.46
4,1000,0.45,8.87
8,1000,0.45,17.86
16,1000,0.45,35.70
32,1000,0.49,65.33
64,1000,0.49,131.68
128,1000,0.57,224.44
256,1000,0.63,404.85
512,1000,0.94,545.30
1024,1000,1.03,995.71
2048,1000,1.16,1763.61
4096,1000,1.51,2703.99
8192,1000,2.03,4042.25
16384,1000,3.57,4593.03
32768,1000,7.42,4419.03
65536,640,12.85,5098.53
131072,320,22.68,5780.12
262144,160,44.12,5941.02
524288,80,85.51,6131.14
1048576,40,164.90,6359.04
2097152,20,323.74,6477.85
4194304,10,652.15,6431.54
8388608,5,1355.45,6188.79
16777216,2,3028.55,5539.69
33554432,1,7293.75,4600.44
67108864,1,14791.91,4536.86
134217728,1,29761.94,4509.71
268435456,1,59664.78,4499.06
