#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.43,2.34
2,1000,0.43,4.64
4,1000,0.43,9.39
8,1000,0.43,18.76
16,1000,0.43,37.33
32,1000,0.46,69.19
64,1000,0.47,137.41
128,1000,0.57,223.75
256,1000,0.60,426.79
512,1000,0.79,650.98
1024,1000,0.88,1164.82
2048,1000,1.02,2013.79
4096,1000,1.44,2838.23
8192,1000,1.94,4229.66
16384,1000,3.23,5071.58
32768,1000,4.98,6574.60
65536,640,9.30,7048.34
131072,320,17.65,7426.72
262144,160,33.97,7716.25
524288,80,82.00,6394.03
1048576,40,166.30,6305.36
2097152,20,330.72,6341.24
4194304,10,656.80,6385.95
8388608,5,1370.41,6121.24
16777216,2,3654.88,4590.36
33554432,1,7783.22,4311.13
67108864,1,15646.53,4289.06
134217728,1,31151.38,4308.56
268435456,1,62499.63,4294.99
