#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.70,0.00
1,1000,0.69,1.45
2,1000,0.66,3.01
4,1000,0.69,5.81
8,1000,0.70,11.39
16,1000,0.69,23.18
32,1000,0.72,44.18
64,1000,0.72,88.79
128,1000,0.74,172.08
256,1000,0.72,356.97
512,1000,1.19,428.68
1024,1000,1.26,814.01
2048,1000,1.40,1460.15
4096,1000,1.86,2204.91
8192,1000,2.38,3444.10
16384,1000,3.35,4893.29
32768,1000,7.64,4289.44
65536,640,12.95,5060.32
131072,320,22.72,5770.23
262144,160,43.69,6000.12
524288,80,83.69,6264.60
1048576,40,164.71,6366.10
2097152,20,324.57,6461.36
4194304,10,652.22,6430.77
8388608,5,1335.46,6281.42
16777216,2,3013.29,5567.74
33554432,1,7259.53,4622.12
67108864,1,14702.30,4564.51
134217728,1,29640.90,4528.13
268435456,1,59594.28,4504.38
