#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.70,0.00
1,1000,0.70,1.44
2,1000,0.71,2.83
4,1000,0.68,5.85
8,1000,0.70,11.45
16,1000,0.69,23.04
32,1000,0.74,43.39
64,1000,0.73,87.64
128,1000,0.76,167.70
256,1000,0.73,350.46
512,1000,1.13,454.14
1024,1000,1.21,849.15
2048,1000,1.31,1562.39
4096,1000,1.78,2298.17
8192,1000,2.19,3746.78
16384,1000,3.16,5183.58
32768,1000,5.26,6224.11
65536,640,9.31,7042.02
131072,320,18.03,7268.69
262144,160,34.19,7667.81
524288,80,82.86,6327.68
1048576,40,167.44,6262.30
2097152,20,330.71,6341.41
4194304,10,656.75,6386.41
8388608,5,1360.89,6164.06
16777216,2,3650.40,4596.00
33554432,1,7773.64,4316.44
67108864,1,15552.52,4314.98
134217728,1,31219.09,4299.22
268435456,1,62360.32,4304.59
