#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.53,0.00
1,1000,0.60,1.66
2,1000,0.60,3.33
4,1000,0.60,6.67
8,1000,0.60,13.30
16,1000,0.63,25.30
32,1000,0.66,48.49
64,1000,0.81,78.55
128,1000,0.95,134.31
256,1000,1.17,219.39
512,1000,1.02,502.81
1024,1000,1.41,726.55
2048,1000,1.64,1248.92
4096,1000,2.71,1511.16
8192,1000,3.33,2456.75
16384,1000,3.76,4352.03
32768,1000,4.90,6690.10
65536,640,6.43,10198.73
131072,320,11.49,11403.63
262144,160,19.66,13333.47
524288,80,39.28,13347.15
1048576,40,94.90,11048.81
2097152,20,217.96,9621.71
4194304,10,418.34,10026.10
