#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.58,1.73
2,1000,0.57,3.52
4,1000,0.56,7.14
8,1000,0.58,13.82
16,1000,0.61,26.26
32,1000,0.71,45.25
64,1000,0.71,90.62
128,1000,0.98,130.73
256,1000,1.06,241.24
512,1000,1.24,412.53
1024,1000,1.58,646.21
2048,1000,1.80,1135.11
4096,1000,2.88,1421.61
8192,1000,3.22,2543.03
16384,1000,3.69,4435.51
32768,1000,4.48,7307.43
65536,640,6.68,9809.11
131072,320,10.05,13042.26
262144,160,18.33,14303.60
524288,80,39.98,13114.01
1048576,40,98.87,10605.77
2097152,20,245.30,8549.41
4194304,10,513.17,8173.27
8388608,5,1362.48,6156.88
16777216,2,4222.27,3973.51
33554432,1,10789.66,3109.87
67108864,1,21792.02,3079.52
134217728,1,42979.65,3122.82
268435456,1,84018.57,3194.95
