#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.15,0.00
1,1000,8.25,0.12
2,1000,8.28,0.24
4,1000,8.27,0.48
8,1000,8.23,0.97
16,1000,8.23,1.94
32,1000,8.26,3.88
64,1000,8.30,7.71
128,1000,8.60,14.88
256,1000,8.69,29.44
512,1000,8.72,58.75
1024,1000,9.76,104.88
2048,1000,9.21,222.43
4096,1000,11.24,364.51
8192,1000,11.89,689.24
16384,1000,15.73,1041.39
32768,1000,26.33,1244.72
65536,640,58.53,1119.62
131072,320,80.30,1632.32
262144,160,123.36,2125.06
524288,80,196.26,2671.42
1048576,40,325.24,3224.04
2097152,20,619.84,3383.38
4194304,10,1207.30,3474.12
8388608,5,2399.39,3496.15
16777216,2,5141.25,3263.25
33554432,1,10638.93,3153.93
67108864,1,20294.77,3306.71
134217728,1,40026.93,3353.19
268435456,1,80461.30,3336.21
