#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.52,0.00
1,1000,8.60,0.12
2,1000,8.60,0.23
4,1000,8.57,0.47
8,1000,8.57,0.93
16,1000,8.60,1.86
32,1000,8.60,3.72
64,1000,8.57,7.47
128,1000,8.92,14.34
256,1000,8.92,28.69
512,1000,8.98,57.04
1024,1000,10.38,98.64
2048,1000,9.46,216.39
4096,1000,11.66,351.19
8192,1000,12.28,666.94
16384,1000,16.88,970.42
32768,1000,27.20,1204.52
65536,640,62.48,1048.93
131072,320,88.75,1476.81
262144,160,134.89,1943.45
524288,80,208.35,2516.36
1048576,40,359.54,2916.46
2097152,20,679.26,3087.40
4194304,10,1347.38,3112.92
8388608,5,2673.36,3137.85
16777216,2,5422.76,3093.85
33554432,1,10839.99,3095.43
67108864,1,21415.13,3133.71
134217728,1,42988.14,3122.20
268435456,1,85572.17,3136.95
