#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.46,0.00
1,1000,0.47,2.14
2,1000,0.46,4.32
4,1000,0.46,8.68
8,1000,0.46,17.35
16,1000,0.46,34.55
32,1000,0.49,65.21
64,1000,0.49,131.26
128,1000,0.56,228.10
256,1000,0.64,402.14
512,1000,0.96,531.37
1024,1000,0.98,1042.64
2048,1000,1.13,1816.83
4096,1000,1.60,2560.40
8192,1000,2.10,3906.14
16384,1000,3.70,4432.08
32768,1000,7.42,4413.81
65536,640,12.96,5056.47
131072,320,22.76,5757.93
262144,160,43.39,6042.18
524288,80,85.42,6137.57
1048576,40,166.25,6307.38
2097152,20,325.44,6444.00
4194304,10,649.78,6454.96
8388608,5,1340.83,6256.28
16777216,2,2977.46,5634.74
33554432,1,7212.81,4652.06
67108864,1,14763.06,4545.73
134217728,1,29795.11,4504.69
268435456,1,59639.56,4500.96
