#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.43,4.70
4,1000,0.44,9.04
8,1000,0.43,18.50
16,1000,0.43,37.19
32,1000,0.47,68.40
64,1000,0.47,135.47
128,1000,0.57,223.82
256,1000,0.62,414.01
512,1000,0.79,644.15
1024,1000,0.87,1172.18
2048,1000,1.01,2018.53
4096,1000,1.51,2704.08
8192,1000,1.92,4257.48
16384,1000,3.33,4917.20
32768,1000,5.05,6488.58
65536,640,9.08,7215.09
131072,320,17.81,7360.64
262144,160,35.16,7455.13
524288,80,80.83,6486.13
1048576,40,168.27,6231.48
2097152,20,335.06,6258.98
4194304,10,671.88,6242.67
8388608,5,1436.55,5839.42
16777216,2,3883.28,4320.37
33554432,1,8087.09,4149.14
67108864,1,16175.69,4148.75
134217728,1,32276.02,4158.43
268435456,1,64660.51,4151.46
