#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.40,2.51
2,1000,0.40,5.02
4,1000,0.40,10.07
8,1000,0.40,20.07
16,1000,0.40,40.13
32,1000,0.55,57.73
64,1000,0.56,115.06
128,1000,0.89,143.36
256,1000,0.93,275.55
512,1000,1.12,457.68
1024,1000,1.36,753.37
2048,1000,2.11,968.40
4096,1000,2.98,1374.78
8192,1000,4.79,1711.80
16384,1000,7.42,2209.03
32768,1000,12.68,2584.05
65536,640,23.87,2746.08
131072,320,44.65,2935.66
262144,160,13.21,19846.31
524288,80,22.86,22932.81
1048576,40,51.40,20399.77
2097152,20,137.45,15257.83
4194304,10,296.05,14167.61
