#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.42,2.39
2,1000,0.42,4.72
4,1000,0.42,9.57
8,1000,0.42,19.22
16,1000,0.42,38.42
32,1000,0.57,55.99
64,1000,0.58,110.71
128,1000,1.07,119.78
256,1000,1.11,230.33
512,1000,1.20,428.18
1024,1000,1.54,665.46
2048,1000,2.10,977.19
4096,1000,2.99,1371.94
8192,1000,4.66,1757.74
16384,1000,7.04,2326.81
32768,1000,12.77,2566.92
65536,640,23.55,2783.31
131072,320,44.19,2965.77
262144,160,14.72,17808.39
524288,80,26.79,19567.77
1048576,40,62.30,16830.83
2097152,20,157.09,13349.70
4194304,10,350.24,11975.61
8388608,5,787.66,10650.07
16777216,2,2474.84,6779.10
33554432,1,6803.87,4931.67
67108864,1,13917.77,4821.81
134217728,1,27886.45,4813.01
268435456,1,53128.49,5052.57
