#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.42,2.40
2,1000,0.42,4.80
4,1000,0.42,9.61
8,1000,0.42,19.10
16,1000,0.42,38.30
32,1000,0.56,56.91
64,1000,0.57,113.23
128,1000,1.07,119.56
256,1000,1.12,228.00
512,1000,1.25,410.99
1024,1000,1.51,680.32
2048,1000,2.10,976.87
4096,1000,2.97,1379.01
8192,1000,4.64,1765.84
16384,1000,7.07,2318.21
32768,1000,12.52,2616.86
65536,640,22.93,2858.41
131072,320,43.30,3027.16
262144,160,14.68,17854.16
524288,80,26.45,19818.11
1048576,40,60.36,17370.87
2097152,20,163.69,12811.62
4194304,10,363.56,11536.61
8388608,5,783.69,10703.98
16777216,2,2525.66,6642.71
33554432,1,6968.27,4815.32
67108864,1,14424.91,4652.29
134217728,1,28520.01,4706.09
268435456,1,56279.24,4769.71
