#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.23,0.00
1,1000,8.33,0.12
2,1000,8.32,0.24
4,1000,8.33,0.48
8,1000,8.33,0.96
16,1000,8.30,1.93
32,1000,8.29,3.86
64,1000,8.35,7.66
128,1000,8.74,14.65
256,1000,8.74,29.30
512,1000,8.82,58.06
1024,1000,9.68,105.80
2048,1000,9.41,217.60
4096,1000,10.92,375.10
8192,1000,11.99,683.23
16384,1000,15.76,1039.36
32768,1000,25.98,1261.35
65536,640,57.62,1137.42
131072,320,81.92,1599.99
262144,160,124.35,2108.10
524288,80,197.03,2660.95
1048576,40,329.79,3179.54
2097152,20,627.99,3339.44
4194304,10,1237.23,3390.07
