#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.40,2.50
2,1000,0.40,5.01
4,1000,0.40,9.91
8,1000,0.39,20.28
16,1000,0.40,40.34
32,1000,0.56,57.40
64,1000,0.56,114.51
128,1000,0.90,141.99
256,1000,0.93,274.06
512,1000,1.13,452.27
1024,1000,1.31,783.37
2048,1000,2.10,975.98
4096,1000,2.99,1369.55
8192,1000,4.84,1691.49
16384,1000,7.48,2190.42
32768,1000,13.81,2372.88
65536,640,25.27,2593.92
131072,320,47.03,2787.20
262144,160,14.54,18025.93
524288,80,25.49,20571.46
1048576,40,54.85,19118.21
2097152,20,143.80,14583.42
4194304,10,291.01,14413.06
