#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.27,3.70
2,1000,0.27,7.38
4,1000,0.27,14.75
8,1000,0.27,29.65
16,1000,0.27,59.30
32,1000,0.28,113.86
64,1000,0.28,225.70
128,1000,0.29,439.46
256,1000,0.30,839.75
512,1000,0.57,900.56
1024,1000,0.60,1713.09
2048,1000,0.72,2832.58
4096,1000,0.94,4340.94
8192,1000,1.47,5570.57
16384,1000,2.38,6878.08
32768,1000,3.61,9070.83
65536,640,5.87,11164.38
131072,320,8.86,14793.35
262144,160,16.52,15868.56
524288,80,41.52,12626.33
1048576,40,83.34,12582.56
2097152,20,167.70,12505.36
4194304,10,413.20,10150.81
8388608,5,1013.87,8273.81
16777216,2,2119.87,7914.26
33554432,1,6065.69,5531.85
67108864,1,12535.78,5353.39
134217728,1,25706.56,5221.15
268435456,1,52637.41,5099.71
