#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.57
2,1000,0.28,7.17
4,1000,0.28,14.12
8,1000,0.28,28.49
16,1000,0.29,55.46
32,1000,0.29,111.51
64,1000,0.29,220.33
128,1000,0.30,425.38
256,1000,0.32,796.48
512,1000,0.56,906.95
1024,1000,0.62,1657.78
2048,1000,0.75,2732.71
4096,1000,0.96,4285.23
8192,1000,1.48,5523.99
16384,1000,2.37,6910.42
32768,1000,3.61,9069.61
65536,640,5.86,11187.03
131072,320,8.91,14707.65
262144,160,15.78,16611.19
524288,80,40.54,12933.92
1048576,40,83.78,12516.31
2097152,20,166.06,12628.82
4194304,10,401.87,10436.94
8388608,5,1018.18,8238.80
16777216,2,2171.09,7727.56
33554432,1,5984.34,5607.04
67108864,1,12411.67,5406.92
134217728,1,25489.35,5265.64
268435456,1,52482.88,5114.72
