#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.23,4.37
2,1000,0.23,8.74
4,1000,0.23,17.58
8,1000,0.23,34.42
16,1000,0.23,69.58
32,1000,0.25,129.47
64,1000,0.25,257.25
128,1000,0.27,481.27
256,1000,0.28,902.04
512,1000,0.44,1175.35
1024,1000,0.45,2262.03
2048,1000,0.60,3417.80
4096,1000,0.85,4806.59
8192,1000,1.42,5776.95
16384,1000,2.32,7054.58
32768,1000,3.49,9400.27
65536,640,5.71,11484.25
131072,320,8.70,15063.76
262144,160,15.14,17319.83
524288,80,41.26,12706.96
1048576,40,82.46,12716.18
2097152,20,155.93,13449.04
4194304,10,369.96,11337.23
8388608,5,1150.98,7288.22
16777216,2,2537.46,6611.81
33554432,1,5868.22,5717.99
67108864,1,11676.93,5747.13
134217728,1,23432.83,5727.76
268435456,1,48435.56,5542.12
