#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.28,3.56
2,1000,0.28,7.15
4,1000,0.28,14.38
8,1000,0.28,28.55
16,1000,0.30,52.57
32,1000,0.30,107.31
64,1000,0.35,184.16
128,1000,0.38,333.57
256,1000,0.45,572.26
512,1000,0.62,820.05
1024,1000,0.72,1424.33
2048,1000,0.88,2335.43
4096,1000,1.75,2341.27
8192,1000,2.11,3882.30
16384,1000,2.66,6153.70
32768,1000,3.83,8556.80
65536,640,5.51,11892.96
131072,320,10.87,12054.94
262144,160,18.85,13904.31
524288,80,38.33,13679.55
1048576,40,89.04,11776.73
2097152,20,218.25,9608.83
4194304,10,431.24,9726.09
8388608,5,1497.26,5602.66
16777216,2,3690.93,4545.53
33554432,1,7446.19,4506.25
67108864,1,14866.57,4514.08
134217728,1,29635.97,4528.88
268435456,1,59221.21,4532.76
