#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.95,0.00
1,1000,5.05,0.20
2,1000,5.06,0.40
4,1000,5.06,0.79
8,1000,5.06,1.58
16,1000,5.07,3.16
32,1000,5.08,6.29
64,1000,5.07,12.62
128,1000,5.15,24.86
256,1000,5.17,49.48
512,1000,5.22,98.18
1024,1000,5.83,175.56
2048,1000,5.65,362.75
4096,1000,6.46,633.82
8192,1000,6.95,1178.39
16384,1000,9.09,1803.23
32768,1000,14.39,2277.48
65536,640,29.96,2187.12
131072,320,44.17,2967.57
262144,160,62.36,4203.46
524288,80,97.69,5367.13
1048576,40,163.87,6398.73
2097152,20,322.09,6511.15
4194304,10,667.48,6283.78
8388608,5,1563.84,5364.10
16777216,2,3279.45,5115.86
33554432,1,6649.43,5046.21
67108864,1,13202.15,5083.18
134217728,1,26181.56,5126.42
268435456,1,52088.10,5153.49
