#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.27,0.00
1,1000,1.28,0.78
2,1000,1.28,1.56
4,1000,1.28,3.12
8,1000,1.27,6.28
16,1000,1.28,12.48
32,1000,1.30,24.58
64,1000,1.44,44.49
128,1000,1.47,86.90
256,1000,1.72,149.16
512,1000,1.78,288.24
1024,1000,1.94,529.03
2048,1000,2.59,790.88
4096,1000,3.27,1254.47
8192,1000,4.10,1996.46
16384,1000,5.81,2819.61
32768,1000,9.92,3303.52
65536,640,13.10,5000.94
131072,320,22.63,5791.86
262144,160,33.34,7863.46
524288,80,55.66,9419.42
1048576,40,98.00,10699.75
2097152,20,185.55,11302.38
4194304,10,354.48,11832.42
8388608,5,696.34,12046.75
16777216,2,1384.90,12114.36
33554432,1,2771.21,12108.22
67108864,1,5526.13,12143.92
134217728,1,11030.03,12168.39
268435456,1,21981.80,12211.71
