#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.01
4,1000,0.99,4.04
8,1000,0.98,8.14
16,1000,0.99,16.24
32,1000,1.01,31.78
64,1000,1.16,54.95
128,1000,1.21,105.50
256,1000,1.42,180.88
512,1000,1.50,341.93
1024,1000,1.65,620.08
2048,1000,2.32,884.12
4096,1000,3.19,1283.44
8192,1000,4.47,1834.05
16384,1000,6.41,2555.27
32768,1000,8.54,3837.82
65536,640,12.45,5262.48
131072,320,18.82,6963.83
262144,160,32.77,7998.69
524288,80,57.41,9132.81
1048576,40,97.86,10714.52
2097152,20,182.11,11516.14
4194304,10,353.38,11869.10
8388608,5,693.92,12088.79
16777216,2,1381.34,12145.58
33554432,1,2764.72,12136.65
67108864,1,5515.18,12168.02
134217728,1,11011.35,12189.04
268435456,1,22074.10,12160.65
