#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.45,2.22
2,1000,0.45,4.45
4,1000,0.45,8.99
8,1000,0.45,17.93
16,1000,0.45,35.81
32,1000,0.49,65.57
64,1000,0.48,133.27
128,1000,0.56,228.25
256,1000,0.62,413.00
512,1000,0.98,524.41
1024,1000,1.03,992.60
2048,1000,1.18,1731.09
4096,1000,1.68,2442.95
8192,1000,2.18,3764.23
16384,1000,3.63,4508.48
32768,1000,5.45,6007.17
65536,640,9.40,6969.48
131072,320,15.80,8294.51
262144,160,29.75,8810.56
524288,80,68.46,7658.74
1048576,40,134.37,7803.82
2097152,20,261.18,8029.45
4194304,10,518.07,8095.98
8388608,5,1071.80,7826.67
16777216,2,2307.14,7271.86
33554432,1,7931.58,4230.49
67108864,1,15767.10,4256.26
134217728,1,31557.54,4253.11
268435456,1,62959.13,4263.65
