#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.46,0.00
1,1000,0.46,2.20
2,1000,0.46,4.36
4,1000,0.46,8.70
8,1000,0.46,17.57
16,1000,0.46,34.91
32,1000,0.49,65.23
64,1000,0.49,131.71
128,1000,0.58,222.00
256,1000,0.63,405.81
512,1000,0.95,536.78
1024,1000,1.01,1017.04
2048,1000,1.15,1775.64
4096,1000,1.60,2564.94
8192,1000,2.12,3873.20
16384,1000,3.60,4551.35
32768,1000,5.65,5800.72
65536,640,9.44,6941.90
131072,320,15.61,8396.96
262144,160,29.56,8868.96
524288,80,66.56,7877.40
1048576,40,133.63,7847.13
2097152,20,261.12,8031.36
4194304,10,518.03,8096.60
8388608,5,1073.15,7816.84
16777216,2,2373.21,7069.40
33554432,1,7842.26,4278.67
67108864,1,15830.92,4239.10
134217728,1,31627.02,4243.77
268435456,1,63075.40,4255.79
