#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.43,2.34
2,1000,0.43,4.67
4,1000,0.43,9.33
8,1000,0.43,18.56
16,1000,0.43,37.27
32,1000,0.46,69.70
64,1000,0.46,138.39
128,1000,0.56,227.33
256,1000,0.60,426.79
512,1000,0.83,614.97
1024,1000,0.89,1149.89
2048,1000,1.08,1889.75
4096,1000,1.47,2781.21
8192,1000,2.00,4101.19
16384,1000,3.29,4986.24
32768,1000,5.14,6380.52
65536,640,9.29,7054.07
131072,320,17.75,7383.32
262144,160,34.64,7566.80
524288,80,81.59,6425.68
1048576,40,166.82,6285.56
2097152,20,330.81,6339.43
4194304,10,655.79,6395.78
8388608,5,1369.76,6124.15
16777216,2,3709.30,4523.01
33554432,1,7795.28,4304.46
67108864,1,15624.34,4295.15
134217728,1,31178.59,4304.80
268435456,1,62247.67,4312.38
