#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.66,0.00
1,1000,0.71,1.42
2,1000,0.66,3.04
4,1000,0.65,6.14
8,1000,0.70,11.50
16,1000,0.66,24.36
32,1000,0.69,46.42
64,1000,0.69,92.12
128,1000,0.73,176.40
256,1000,0.74,345.23
512,1000,1.11,462.62
1024,1000,1.20,850.88
2048,1000,1.32,1554.71
4096,1000,1.72,2376.78
8192,1000,2.14,3827.02
16384,1000,3.22,5085.92
32768,1000,5.27,6217.60
65536,640,9.27,7067.37
131072,320,17.86,7339.55
262144,160,34.16,7674.84
524288,80,83.11,6308.47
1048576,40,167.38,6264.60
2097152,20,331.72,6322.00
4194304,10,656.27,6391.10
8388608,5,1359.61,6169.86
16777216,2,3682.16,4556.35
33554432,1,7762.94,4322.39
67108864,1,15603.86,4300.79
134217728,1,31084.71,4317.81
268435456,1,62209.89,4315.00
