#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.55,0.00
1,1000,0.57,1.76
2,1000,0.58,3.48
4,1000,0.57,7.08
8,1000,0.57,13.94
16,1000,0.61,26.14
32,1000,0.68,47.15
64,1000,0.83,77.30
128,1000,0.93,137.03
256,1000,1.08,236.81
512,1000,1.25,410.84
1024,1000,1.46,703.52
2048,1000,1.73,1185.97
4096,1000,2.66,1540.00
8192,1000,2.97,2758.16
16384,1000,3.60,4550.21
32768,1000,4.65,7044.29
65536,640,6.61,9909.61
131072,320,10.16,12896.06
262144,160,17.88,14661.54
524288,80,37.95,13815.34
1048576,40,100.97,10384.81
2097152,20,243.39,8616.42
4194304,10,499.52,8396.71
8388608,5,1269.27,6609.01
16777216,2,4195.65,3998.71
33554432,1,10749.64,3121.45
67108864,1,21834.39,3073.54
134217728,1,43781.74,3065.61
268435456,1,87752.91,3058.99
