#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.72,0.00
1,1000,8.89,0.11
2,1000,8.87,0.23
4,1000,8.85,0.45
8,1000,8.87,0.90
16,1000,8.85,1.81
32,1000,8.89,3.60
64,1000,8.89,7.20
128,1000,9.18,13.94
256,1000,9.20,27.84
512,1000,9.25,55.33
1024,1000,10.38,98.66
2048,1000,9.81,208.79
4096,1000,11.56,354.17
8192,1000,12.46,657.41
16384,1000,16.79,975.99
32768,1000,26.96,1215.56
65536,640,63.27,1035.75
131072,320,89.02,1472.32
262144,160,136.49,1920.54
524288,80,208.71,2512.05
1048576,40,360.50,2908.67
2097152,20,677.56,3095.17
4194304,10,1346.69,3114.52
8388608,5,2645.78,3170.56
16777216,2,5381.40,3117.63
33554432,1,10908.96,3075.86
67108864,1,21605.55,3106.09
134217728,1,43182.79,3108.13
268435456,1,85953.98,3123.01
